date,home_team,away_team,home_score,away_score,tournament,neutral,year,home_elo,away_elo,elo_diff,result
1920-09-25,Argentina,Brazil,2.0,0.0,Copa América,True,1920,1933.0,1822.0,111.0,home_win
1920-09-26,Austria,Germany,3.0,2.0,Friendly,False,1920,1824.0,1653.0,171.0,home_win
1920-09-26,Sweden,Norway,0.0,0.0,Friendly,False,1920,1649.0,1535.0,114.0,draw
1921-03-06,Belgium,France,3.0,1.0,Friendly,False,1921,1882.0,1607.0,275.0,home_win
1921-03-26,Austria,Sweden,2.0,2.0,Friendly,False,1921,1846.0,1592.0,254.0,draw
1921-04-07,Paraguay,Argentina,3.0,1.0,Friendly,False,1921,1751.0,1961.0,-210.0,home_win
1921-04-09,Scotland,England,3.0,0.0,British Home Championship,False,1921,1925.0,1926.0,-1.0,home_win
1921-04-14,Paraguay,Argentina,2.0,2.0,Friendly,False,1921,1751.0,1961.0,-210.0,draw
1921-05-01,Switzerland,Austria,2.0,2.0,Friendly,False,1921,1557.0,1846.0,-289.0,draw
1921-05-05,Germany,Austria,3.0,3.0,Friendly,False,1921,1653.0,1846.0,-193.0,draw
1921-05-15,Belgium,Netherlands,1.0,1.0,Friendly,False,1921,1882.0,1865.0,17.0,draw
1921-05-21,Belgium,England,0.0,2.0,Friendly,False,1921,1882.0,1926.0,-44.0,away_win
1921-06-19,Norway,Sweden,3.0,1.0,Friendly,False,1921,1580.0,1592.0,-12.0,home_win
1921-07-24,Sweden,Austria,1.0,3.0,Friendly,False,1921,1592.0,1846.0,-254.0,away_win
1921-09-18,Sweden,Norway,0.0,3.0,Friendly,False,1921,1592.0,1580.0,12.0,away_win
1921-10-02,Argentina,Brazil,1.0,0.0,Copa América,False,1921,1961.0,1839.0,122.0,home_win
1921-10-09,Paraguay,Uruguay,2.0,1.0,Copa América,True,1921,1751.0,1990.0,-239.0,home_win
1921-10-12,Brazil,Paraguay,3.0,0.0,Copa América,True,1921,1839.0,1751.0,88.0,home_win
1921-10-16,Argentina,Paraguay,3.0,0.0,Copa América,False,1921,1961.0,1751.0,210.0,home_win
1921-10-23,Brazil,Uruguay,1.0,2.0,Copa América,True,1921,1839.0,1990.0,-151.0,away_win
1921-10-30,Argentina,Uruguay,1.0,0.0,Copa América,False,1921,1961.0,1990.0,-29.0,home_win
1921-11-02,Uruguay,Paraguay,4.0,2.0,Friendly,False,1921,1990.0,1751.0,239.0,home_win
1921-11-13,France,Netherlands,0.0,5.0,Friendly,False,1921,1607.0,1865.0,-258.0,away_win
1921-12-18,Spain,Portugal,3.0,1.0,Friendly,False,1921,2024.0,1698.0,326.0,home_win
1922-01-15,France,Belgium,2.0,1.0,Friendly,False,1922,1598.0,1882.0,-284.0,home_win
1922-03-26,Belgium,Netherlands,4.0,0.0,Friendly,False,1922,1882.0,1812.0,70.0,home_win
1922-03-26,Germany,Switzerland,2.0,2.0,Friendly,False,1922,1677.0,1600.0,77.0,draw
1922-04-08,England,Scotland,0.0,1.0,British Home Championship,False,1922,1912.0,1930.0,-18.0,away_win
1922-04-23,Austria,Germany,0.0,2.0,Friendly,False,1922,1845.0,1677.0,168.0,away_win
1922-04-30,France,Spain,0.0,4.0,Friendly,False,1922,1598.0,2034.0,-436.0,away_win
1922-05-07,Netherlands,Belgium,1.0,2.0,Friendly,False,1922,1812.0,1882.0,-70.0,away_win
1922-06-11,Austria,Switzerland,7.0,1.0,Friendly,False,1922,1845.0,1600.0,245.0,home_win
1922-06-11,Norway,France,7.0,0.0,Friendly,False,1922,1607.0,1598.0,9.0,home_win
1922-06-17,New Zealand,Australia,3.0,1.0,Soccer Ashes,False,1922,1528.0,1572.0,-44.0,home_win
1922-06-24,New Zealand,Australia,1.0,1.0,Soccer Ashes,False,1922,1528.0,1572.0,-44.0,draw
1922-07-08,New Zealand,Australia,3.0,1.0,Soccer Ashes,False,1922,1528.0,1572.0,-44.0,home_win
1922-08-23,Sweden,Norway,0.0,0.0,Friendly,False,1922,1643.0,1607.0,36.0,draw
1922-09-24,Brazil,Paraguay,1.0,1.0,Copa América,False,1922,1899.0,1751.0,148.0,draw
1922-09-24,Norway,Sweden,0.0,5.0,Friendly,False,1922,1607.0,1643.0,-36.0,away_win
1922-10-01,Brazil,Uruguay,0.0,0.0,Copa América,False,1922,1899.0,1996.0,-97.0,draw
1922-10-08,Argentina,Uruguay,0.0,1.0,Copa América,True,1922,1891.0,1996.0,-105.0,away_win
1922-10-12,Paraguay,Uruguay,1.0,0.0,Copa América,True,1922,1751.0,1996.0,-245.0,home_win
1922-10-15,Brazil,Argentina,2.0,0.0,Copa América,False,1922,1899.0,1891.0,8.0,home_win
1922-10-18,Argentina,Paraguay,2.0,0.0,Copa América,True,1922,1891.0,1751.0,140.0,home_win
1922-10-22,Brazil,Argentina,2.0,1.0,Copa Roca,False,1922,1899.0,1891.0,8.0,home_win
1922-10-29,Brazil,Paraguay,3.0,1.0,Friendly,False,1922,1899.0,1751.0,148.0,home_win
1922-11-06,Brazil,Paraguay,3.0,0.0,Copa América,False,1922,1899.0,1751.0,148.0,home_win
